status,issue,primary finding,title,validator 1 comment,validator 2 comment,merged root cause
Satisfactory,validation-283,findings-42,Any address that is not registered in `_whitelistIndex` can pass the `checkWhitelist()` as long as it is not in the blacklist,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-325,findings-42,Token can be transfered to non-whitelisted because of wrong input validation,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-326,findings-42,"checkWhitelist() is broken, causing non-whitelisted user to have token",Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-359,findings-42,Incorrect whitelist validation in the `checkWhitelist` function allows non-whitelisted users to bypass whitelisting.,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-385,findings-42,Non whitelisted addresses can bypass `Whitelist::checkWhitelist` and swap VULT tokens from pool,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-39,findings-42,`checkWhitelist()` function does not revert when the checked address is not whitelisted,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-393,findings-42,Whitelist can be bypassed,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-438,findings-42,Invalid check in WhiteList.checkWhitelist().,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-458,findings-42,CheckWhitelist fails to detect non-whitelisted users . ,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-475,findings-42,Everyone not configured could buy without whitelist,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-505,findings-42,Whitelist bypass,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-521,findings-42,Function checkWhitelist() does not check if an address is whitelisted or not,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-542,findings-42,Non-whitelist addresses could pass the whitelist check in `checkWhitelist`.,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-550,findings-42,Unwhitelisted users can receive tokens,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-56,findings-42,Non whitelisted user can bypass `checkWhitelist()`,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-568,findings-42,Tokens can be transferred to non-whitelisted `to` address when whitelisted contract is set in `VultisigWhitelisted` contract,Obvious leak,Blacklisted users can have vault tokens,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-61,findings-42,`Whitelist.sol#checkWhitelist` function may return true for not whitelisted account when `_allowedWhitelistIndex` is bigger than zero.,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-97,findings-42,Anyone Can Purchase Without Being Whitelisted Due to Incorrect Access Control,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-289,findings-42,Whitelist and MaxAddressCap protections for Vultisig token can be bypassed,address that is not whitelisted nor blacklisted will bypass whitelist check,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L229
Satisfactory,validation-42,findings-42,Missing null value check allows not whilisted users to buy VULT tokens from the pool,Obvious leak,Vultisig whitelisting can be bypassed by anyone,https://github.com/code-423n4/ilo-contracts/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L204-L228
Satisfactory,validation-234,findings-42,Insufficient Whitelist Validation in `Vultisig` Token Transfer Process,Vultisig whitelisting can be bypassed by anyone,Obvious leak,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/Whitelist.sol#L197-L228
Satisfactory,findings-44,findings-44,ILO Pool launches will always fail when initialized with tick values not divisible by the tick-spacing for the Uniswap pool,Missing crucial validation,Insufficient tick validation,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L88-L89
Satisfactory,validation-615,findings-44,No security checks to ensure given lower & upper ticks to be valid ticks. Leading to silent reverts while depositing liquidity on successful presales.,Low QA on an admin call,Insufficient tick validation,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L88-L89
Satisfactory,findings-45,findings-45,The min amount of added liquidity is not always calculated correctly and will make successful ILO pools revert on their launches,Well described POC but refund isn't possible after a successful launch,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,findings-20,findings-45,`DoS` on the launch due to a strict slippage check when adding liquidity to the Uniswap V3 pool.,Implemented in the base contract,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,validation-187,findings-45,Strict Price Slippage Restriction in `launch()` Function Can Cause Transaction Reversion,Incorrect root cause,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,validation-22,findings-45,0 slippage for pool launch could lead to DoS,Implemented in the base contract,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,validation-338,findings-45,"The token amount required by Uniswap V3 pool may be 1 wei less than the totalRaised amount, results in project launch fail",Unlikely to happen,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,validation-483,findings-45,ILOPool.Launch() could fail unreasonably due to rounding error and slippage check.,Implemented in the base contract,DoS due to incorrect assumption of min amount to add liquidity,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,validation-217,findings-45,Slippage is too rigid when creating liquidity,DoS due to incorrect assumption of min amount to add liquidity,Implemented in base contract,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L284-L293
Satisfactory,findings-53,findings-53,Use of `slot0` allows for `sqrtPriceX96` price manipulation.,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-123,findings-53,UniswapV3 `slot0` should not be used as it can be manipulated.,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-178,findings-53,slot0 manipulation,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-303,findings-53,Slot0 is vulnerable to manipulations,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-492,findings-53,Use of `slot0` to get `sqrtPriceLimitX96` can lead to price manipulation.,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-514,findings-53,Using `slot0` to get the `sqrtPriceX96` while launching project leads to manipulation of prices.,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-539,findings-53,using pool slot 0 price can cause issues,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-567,findings-53,Launcher could be frontrunned and the project might get launched at wrong price,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-578,findings-53,Use of slot0 to get sqrtPriceX96 can lead to price manipulation,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-684,findings-53,Vulnerability Due to Reliance on `slot0` Data for Price Fetching,Infeasible on POS,Use of slot0,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-192,findings-53,Using slot0 to get a price can lead to a price manipulation,Use of slot0,Infeasible on POS,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-242,findings-53,Use of Uniswap V3's `slot0`  for Price Retrieval Can Lead to Severe Price Manipulation ,Use of slot0,Infeasible on POS,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-243,findings-53,Project initialization is likely to fail due to `slot0` manipulation,Use of slot0,Intended design,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-328,findings-53,Dangerous use of `slot0` allows pool admin to use a `initialPoolPrice` that manipulates the pool price calculations,Use of slot0,Infeasible on POS,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-63,findings-53,Use of slot0 is easy to manipulate,Use of slot0,Infeasible on POS,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L115
Satisfactory,validation-142,validation-142,Investor will not be able to unlock/vest liquidity even though its completely vested,Intended design on break instaed of continue,One not started vesting can DoS completed vestings,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L410C13-L412C14
Satisfactory,validation-268,validation-142,Full liquidity will not vest even any one vest.start is greater than block.timestamp,Intended design on break instaed of continue,One not started vesting can DoS completed vestings,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L410C13-L412C14
Satisfactory,validation-566,validation-142,Incorrect Liquidity Calculation Due to Unordered Vesting Schedules in _unlockedLiquidity Function in ILOpool contract.,Intended design on break instaed of continue,One not started vesting can DoS completed vestings,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L410C13-L412C14
Satisfactory,validation-146,validation-146,[M-03] A project cannot launch pools if one pool does not meet the sale soft cap leading to DoS of a project,Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,"""https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187"""
Satisfactory,validation-209,validation-146,"If one pool gets refunded, all the cloned pools will not be able to launch",Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187-L198
Satisfactory,validation-424,validation-146,Risk of DOS in `ILOManager::launch` if Some Project Pools Fail to Reach Soft Cap,Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187-L198
Satisfactory,validation-613,validation-146,Permanent DoS of project launch if refund is triggered in any of the ILOPools,Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187-L198
Satisfactory,validation-36,validation-146,Project will be unable to launch if any one of the ILOPool launch fails/reverts,Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193-L195
Satisfactory,validation-565,validation-146,Failure of One `ILOPool` to Reach Soft Cap Causes DoS for All Pools During Launch,Likely DoS if one of the pool isn't launchable,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193-L195
Satisfactory,validation-85,validation-146,"When one of the ILOPool launch functions revert, the ILOManager launch function should not revert",One not started vesting can DoS completed vestings,Likely DoS if one of the pool isn't launchable,"""https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOPool.sol#L410C13-L412C14,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L194"""
Satisfactory,validation-190,validation-190,Strict Equality In `launch` Function Leads To Reversion,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187-L198
Satisfactory,validation-634,validation-190,"Using strict require statement for `initialPoolPriceX96` and `sqrtPriceX96` , can cause failure to launch.",High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L188-L198
Satisfactory,findings-41,validation-190,Adversary can prevent the launch of any ILO pool with enough raised capital at any moment by providing single-sided liquidity,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-100,validation-190,Adversaries can manipulate sqrtPriceX96 in an empty UniswapV3 pool and use single-sided liquidity to block the project launches,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-133,validation-190,DoS attack making projects unable to launch,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-174,validation-190,Front-running pool’s initialization can lead to failed launch,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-26,validation-190,sqrtPriceX96 can change over time affecting project initialization,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-34,validation-190,Project launch is vulnerable to DoS attack,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-35,validation-190,Launch of the ILOPool can be reverted due to strict require statement,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-375,validation-190,Launch can be prevented due to pool price manipulation.,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-432,validation-190,A `DoS` attack on the launch.,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-503,validation-190,The important `launch()` function can be DOS'd by manipulating the project's uniswap pool,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-515,validation-190,Launch depends on the uniswap pool state to work. This function will fail if there's already circulating supply and people can trade,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-571,validation-190,Malicious actor can add liquidity to the UniswapV3 pool and DoS the launch for a project.,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-614,validation-190,A malicious actor can DoS project launch by manipulating the project uniswap pool price `sqrtPriceX96`,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-62,validation-190,Newly created project with new uni-swap pool could fail on launch leading locking of user funds,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-629,validation-190,Launch can be prevented,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-630,validation-190,Prevent launching ILO pool by updating univ3 pool price,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-673,validation-190,# [H-2] Attacker Can Dos `launch` by adding liquidity to deployed pools,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-685,validation-190,A malicious user ca grief All Pool launches of any Project due to the strict check of `sqrtPriceX96` in `ILOManager::launch(),High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-98,validation-190,ILOPool can be blocked from ever launching if sqrtPriceX96 changes after launch,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-235,validation-190,DOS Attacker can frontrun `ILOManager.launch()` to make it revert with swap because of strict equality check of spot price.,High likelihood of DoS,Pool already exists with different price,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-609,validation-190,ILOPool Launch Price Check Might Lead to Spurious Reverts During Market Movements,Pool already exists with different price,High likelihood of DoS,"""https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L57-L65,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190"""
Satisfactory,validation-329,validation-190,"`ILOManager::launch` erroneously requires that current pool ratio is the exact same as when the project was initialized, which can permanently DoS project launches",Pool already exists with different price,High likelihood of DoS,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L187-L198
Satisfactory,validation-280,validation-190,Strict require statement while launching pool,High likelihood of DoS,Low quality report. Does not describes root cause.,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L190
Satisfactory,validation-137,validation-247,Pool launch may fail due to out of gas error because of unbounded loop and excessive minting ,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-153,validation-247,Too many pools may cause the project to fail to launch,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-247,validation-247,Potential Denial of Service (DoS) Due to Unbounded Loop Iteration in `launch` and `claimRefund` Functions,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-285,validation-247,Possible DoS in `ILOManager.sol::launch()` and `ILOManager.sol::claimRefund` because of unbounded `initializedPools.length`,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-374,validation-247,Pool cannot launch with particular amount of investors.,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-384,validation-247,Possible dos when too many pools,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-441,validation-247,The `_initializedILOPools` array is unbounded this can lead to a DOS in the system.,Low QA frequently reported by the bots on unbounded array,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-448,validation-247,Possible DOS in `launch()` and `claimRefund()` functions because unbounded loop can run out of gas.,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-533,validation-247,Project and all of its pools can be DOS'ed from being launched due to gas running out,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-544,validation-247,ProjectAdmin can DOS `IloManager.launch()` by creating multiple ILO pools causing the for loop to run out of gas and revert,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-548,validation-247,"Pool added after project launch, cannot be launch due to DOS in the `ILOManager.sol:launch` function",Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-554,validation-247,Unbounded `ILOPools` can lead to DoS during Launch,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-570,validation-247,`_initializedILOPools[uniV3PoolAddress` array can grow too large and prevent core functions  from executiing ,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-603,validation-247,a big number of pools will make a protocol unlaunchable and will lock the `SaleTokens` forever,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-653,validation-247,Denial of service built in the ILOPool.launch function because of the likelyness of it reaching the gas limit.,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,several DoS vector for pool launch,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-254,validation-247,`launch()` & `claimRefund` may fail due to potential OOG error,several DoS vector for pool launch,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-337,validation-247,Launching projects may DoS due to insufficient gas,several DoS vector for pool launch,Low QA on unbounded loop. Recipient NFT minting isn't happening at launch and refund claim entails simple logic,https://github.com/code-423n4/2024-06-vultisig/blob/main/src/ILOManager.sol#L193C9-L195C10
Satisfactory,validation-120,validation-310,[M-04] - Hard-coded 5% slippage isn't optimal,Intended design,Slippage should not be hardcoded,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/oracles/uniswap/UniswapV3Oracle.sol#L45
Satisfactory,validation-173,validation-310,Possible significant discrepancies in the quoted price due to hard-corded slippage Percentage in UniswapV3Oracle Contract,Intended design,Slippage should not be hardcoded,https://github.com/code-423n4/2024-06-vultisig/blob/main/hardhat-vultisig/contracts/oracles/uniswap/UniswapV3Oracle.sol#L45
